LocationID,ApogeeID
872,4506,2M10352118+2907470
873,4443,2M10363155+2319410
874,4443,2M10370506+2541318
875,4538,2M10371075-1056303
876,5123,2M10371952+2340031
877,5123,2M10372328+2312262
878,4443,2M10372490+2442462
879,4538,2M10391336-1104510
880,5123,2M10391371+2444396
881,5123,2M10392276+2442211
882,4508,2M10393045+2045587
883,5123,2M10393233+2544364
884,4443,2M10402343+2510454
885,4538,2M10402800-1112350
886,5123,2M10402917+2429366
887,2113,2M10403051+4217212
888,5123,2M10411898+2539134
889,5123,2M10414974+2349031
890,4508,2M10421975+2017198
891,4508,2M10423925+1944404
892,5123,2M10440897+2435253
893,4538,2M10444116-1012171
894,4538,2M10451300-1028232
895,4508,2M10451405+1903465
896,4508,2M10455837+1904000
897,4442,2M10462233+4014258
898,4448,2M10464238+1626144
899,5185,2M10471460-0321276
900,4448,2M10472988+1726513
901,4504,2M10484537+4423377
902,4504,2M10485725+4355384
903,4236,2M10493780-0043348
904,4448,2M10503990+1511442
905,4448,2M10515485+1556172
906,4504,2M10522627+4312296
907,4448,2M10522769+1701079
908,5185,2M10525720-0200220
909,4448,2M10534927+1540389
910,5185,2M10541808-0244180
911,4504,2M10545522+4344339
912,5185,2M10554181-0225596
913,4236,2M10554328+0041514
914,4509,2M10563299+1534557
915,2165,2M10570986+2224429
916,5185,2M10572595-0301100
917,2111,2M10575445+4219046
918,5178,2M10581631+1107031
919,4444,2M10582329+1054571
920,5178,2M10582831+1113078
921,2122,2M10583731+4558228
922,2115,2M10590502+4254168
923,2165,2M11011479+2150334
924,2111,2M11013833+4225489
925,5178,2M11014937+1140205
